user_name,youtube_total_comments,youtube_positive_count,youtube_positive_pct,youtube_negative_count,youtube_negative_pct,youtube_neutral_count,youtube_neutral_pct,youtube_sentiment_score,tiktok_total_comments,tiktok_positive_count,tiktok_positive_pct,tiktok_negative_count,tiktok_negative_pct,tiktok_neutral_count,tiktok_neutral_pct,tiktok_sentiment_score,global_score
YoTips,300.0,221.0,73.67,38.0,12.67,41.0,13.67,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0
Yosra Mahnouch يسرا محنوش,300.0,250.0,83.33,13.0,4.33,37.0,12.33,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
ZAZA SHOW,182.0,141.0,77.47,15.0,8.24,26.0,14.29,66.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.13
_marwa_agrebi_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,224.0,74.67,21.0,7.0,55.0,18.33,67.67,67.67
abdellilotfi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,176.0,58.67,47.0,15.67,77.0,25.67,43.0,43.0
ahmed_landolsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,134.0,76.57,6.0,3.43,35.0,20.0,73.14,73.14
ahmed_riabi_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,213.0,71.0,28.0,9.33,59.0,19.67,61.67,61.67
aichaattia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,106.0,84.13,8.0,6.35,12.0,9.52,77.78,77.78
aichabahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,64.0,66.67,8.0,8.33,24.0,25.0,58.33,58.33
aichabnahmed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,234.0,78.0,18.0,6.0,48.0,16.0,72.0,72.0
alamarzougui7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,46.0,83.64,0.0,0.0,9.0,16.36,83.64,83.64
amal.amamou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,107.0,67.3,32.0,20.13,20.0,12.58,47.17,47.17
amamoumolka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,75.0,4.0,25.0,0.0,0.0,50.0,50.0
amin_hajri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,74.0,92.5,1.0,1.25,5.0,6.25,91.25,91.25
