user_name,youtube_total_comments,youtube_positive_count,youtube_positive_pct,youtube_negative_count,youtube_negative_pct,youtube_neutral_count,youtube_neutral_pct,youtube_sentiment_score,tiktok_total_comments,tiktok_positive_count,tiktok_positive_pct,tiktok_negative_count,tiktok_negative_pct,tiktok_neutral_count,tiktok_neutral_pct,tiktok_sentiment_score,global_score
"molka g,g",14.0,8.0,57.14,1.0,7.14,5.0,35.71,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
molka_g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,65.0,0.0,0.0,7.0,35.0,65.0,65.0
mourad_rouge1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,181.0,60.33,48.0,16.0,71.0,23.67,44.33,44.33
mustafa_houas1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,161.0,53.67,62.0,20.67,77.0,25.67,33.0,33.0
myriemboukadida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,248.0,82.67,13.0,4.33,39.0,13.0,78.33,78.33
naderguirat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,196.0,86.73,9.0,3.98,21.0,9.29,82.74,82.74
nadhir_mindfreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,96.0,88.89,1.0,0.93,11.0,10.19,87.96,87.96
najlaettounsia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,280.0,93.33,3.0,1.0,17.0,5.67,92.33,92.33
naoufelouertani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,269.0,89.67,11.0,3.67,20.0,6.67,86.0,86.0
narjessrkaiek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,132.0,94.29,1.0,0.71,7.0,5.0,93.57,93.57
nasseemziadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,240.0,80.0,22.0,7.33,38.0,12.67,72.67,72.67
nassimraissiofficial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,258.0,86.0,11.0,3.67,31.0,10.33,82.33,82.33
naweliam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,119.0,73.91,10.0,6.21,32.0,19.88,67.7,67.7
nour.chiba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,257.0,85.67,6.0,2.0,37.0,12.33,83.67,83.67
omar_lartiste_maquilleur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,107.0,90.68,1.0,0.85,10.0,8.47,89.83,89.83
onshm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,279.0,93.0,5.0,1.67,16.0,5.33,91.33,91.33
onsjabeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,258.0,86.0,3.0,1.0,39.0,13.0,85.0,85.0
oumaima_trad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,57.14,0.0,0.0,6.0,42.86,57.14,57.14
rabaa_essefi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,224.0,74.67,25.0,8.33,51.0,17.0,66.33,66.33
rabebhosny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,54.55,8.0,36.36,2.0,9.09,18.18,18.18
rachabenmaouia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,83.0,80.58,7.0,6.8,13.0,12.62,73.79,73.79
ramla.dhouibi1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,232.0,77.33,21.0,7.0,47.0,15.67,70.33,70.33
raniatoumi_official,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,37.0,80.43,2.0,4.35,7.0,15.22,76.09,76.09
raouajemli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,138.0,83.13,4.0,2.41,24.0,14.46,80.72,80.72
raouf_maher_officiel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,273.0,91.0,4.0,1.33,23.0,7.67,89.67,89.67
raya_bouallegue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,162.0,83.51,17.0,8.76,15.0,7.73,74.74,74.74
rayenyoussefofc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,265.0,88.33,10.0,3.33,25.0,8.33,85.0,85.0
rim bougamra ريم بوقمرة,93.0,68.0,73.12,5.0,5.38,20.0,21.51,67.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.74
rimbougamra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,224.0,74.67,13.0,4.33,63.0,21.0,70.33,70.33
rym_ben_messaoud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,86.0,87.76,7.0,7.14,5.0,5.1,80.61,80.61
rymooshka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,83.33,0.0,0.0,2.0,16.67,83.33,83.33
rymsaidi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,111.0,90.24,1.0,0.81,11.0,8.94,89.43,89.43
rymsaidiofficial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,255.0,85.0,4.0,1.33,41.0,13.67,83.67,83.67
saadiranya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0
sabrine Taleb,68.0,51.0,75.0,6.0,8.82,11.0,16.18,66.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.18
sabrinetrifi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,61.0,26.64,47.0,20.52,121.0,52.84,6.11,6.11
safwenboufarwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,195.0,65.0,46.0,15.33,59.0,19.67,49.67,49.67
sahribahrii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,139.0,81.76,14.0,8.24,17.0,10.0,73.53,73.53
salma_jardak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,224.0,78.05,11.0,3.83,52.0,18.12,74.22,74.22
samarmatoussi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,48.0,87.27,4.0,7.27,3.0,5.45,80.0,80.0
samiatrabelsiii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,186.0,93.94,2.0,1.01,10.0,5.05,92.93,92.93
samy.chaffai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,169.0,56.33,58.0,19.33,73.0,24.33,37.0,37.0
sanabencheikhlarbi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,97.0,64.67,16.0,10.67,37.0,24.67,54.0,54.0
sandra_chihaoui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,150.0,87.72,3.0,1.75,18.0,10.53,85.96,85.96
sarra___cherif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,199.0,66.33,38.0,12.67,63.0,21.0,53.67,53.67
saydoudaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,201.0,92.2,4.0,1.83,13.0,5.96,90.37,90.37
selmaa,300.0,210.0,70.0,12.0,4.0,78.0,26.0,63.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.92
sheimaoueslati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,216.0,72.0,26.0,8.67,58.0,19.33,63.33,63.33
shootme.tn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,84.62,0.0,0.0,2.0,15.38,84.62,84.62
si_nacer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,109.0,82.58,8.0,6.06,15.0,11.36,76.52,76.52
sonia_younsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,241.0,80.33,17.0,5.67,42.0,14.0,74.67,74.67
souhir_ben_amara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,50.0,0.0,0.0,6.0,50.0,50.0,50.0
soumow | Lectures Vlog Revue 📚,244.0,207.0,84.84,13.0,5.33,24.0,9.84,79.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.51
tanwicha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,180.0,70.59,25.0,9.8,50.0,19.61,60.78,60.78
tastemysweetlife,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,91.0,62.33,24.0,16.44,31.0,21.23,45.89,45.89
tastemysweetlife Amel,106.0,66.0,62.26,15.0,14.15,25.0,23.58,48.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.11
teyssir_ksouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,143.0,74.48,11.0,5.73,38.0,19.79,68.75,68.75
thequeen_nutella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,120.0,83.33,5.0,3.47,19.0,13.19,79.86,79.86
theswaggmantv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,236.0,78.67,18.0,6.0,46.0,15.33,72.67,72.67
this.iz.balti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,243.0,81.0,29.0,9.67,28.0,9.33,71.33,71.33
traveleriste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,171.0,57.0,32.0,10.67,97.0,32.33,46.33,46.33
troudibilel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,81.82,0.0,0.0,2.0,18.18,81.82,81.82
tunisianofficiel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,92.0,67.65,17.0,12.5,27.0,19.85,55.15,55.15
tunisianstreetfood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,155.0,72.43,9.0,4.21,50.0,23.36,68.22,68.22
tunisianyogini,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,37.0,84.09,0.0,0.0,7.0,15.91,84.09,84.09
unboxingtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,94.0,48.21,37.0,18.97,64.0,32.82,29.23,29.23
video3i,15.0,6.0,40.0,2.0,13.33,7.0,46.67,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67
wael_ben_abdallah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,257.0,85.67,8.0,2.67,35.0,11.67,83.0,83.0
yasbouabid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,262.0,87.33,17.0,5.67,21.0,7.0,81.67,81.67
yasmeenayari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,258.0,86.0,5.0,1.67,37.0,12.33,84.33,84.33
yasminenajar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,190.0,92.23,0.0,0.0,16.0,7.77,92.23,92.23
yosramahnouch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,256.0,85.33,7.0,2.33,37.0,12.33,83.0,83.0
yotips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,245.0,81.67,10.0,3.33,45.0,15.0,78.33,78.33
أسرار مطبخ ألفة Cuisine tunisienne,116.0,91.0,78.45,17.0,14.66,8.0,6.9,61.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.81
أكلات تونسية عالمية Cuisine tunisienne,113.0,90.0,79.65,3.0,2.65,20.0,17.7,73.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.99
إنعكاس,300.0,199.0,66.33,55.0,18.33,46.0,15.33,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
إيمان زهرة المطبخ التونسي Cuisine Imen,300.0,245.0,81.67,13.0,4.33,42.0,14.0,77.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33
المطبخ التونسي زكية - Tunisian Cuisine ZAKIA,80.0,43.0,53.75,19.0,23.75,18.0,22.5,28.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95
